"name","party","storkreds","lokalkreds","ran.last.election","age","sex","title","location","pers.votes","UDDANNELSE__Efter folkeskolereformen får eleverne for lange skoledage","FOREBYGGELSE__Afgiften på cigaretter skal sættes op","SUNDHED__Et besøg hos den praktiserende læge skal koste eksempelvis 100 kr.","VELFÆRD__Mere af ældreplejen skal udliciteres til private virksomheder","ARBEJDSMARKED__Man skal hurtigere kunne genoptjene retten til dagpenge","ARBEJDSMARKED__Virksomheder skal kunne drages til ansvar for, om deres udenlandske underleverandører i Danmark overholder danske regler om løn, moms og skat","ØKONOMI__Vækst i den offentlige sektor er vigtigere end skattelettelser","TRAFIK__Investeringer i kollektiv trafik skal prioriteres højere end investeringer til fordel for privatbilisme","RET__Straffen for grov vold og voldtægt skal skærpes","SOCIAL__Kontanthjælpen skal sænkes, så den økonomiske gevinst ved at arbejde bliver større","INTEGRATION__Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter","EU__EU bestemmer for meget i forhold til dansk lov","UDVIKLING__Ulandsbistanden skal sænkes","KULTUR__Den offentlige kulturstøtte skal sænkes"
"Victoria Ninosca Risbjerg Velasquez","enhedslisten","Københavns "," Utterslev"," Ja ",24," Kvinde "," Studerende ","  København V",324,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt uenig"
"Mads Paulsen","enhedslisten","Københavns "," Sundbyøster"," Nej ",25," Mand "," Studerende "," 2300 København S",198,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist uenig"
"Thyge Enevoldsen","enhedslisten","Københavns "," Slots"," Nej ",63," Mand "," Studieleder ","  Frederiksberg",110,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Katrine Toft Mikkelsen","enhedslisten","Københavns "," Brønshøj"," Nej ",44," Kvinde "," Cand.scient.pol. "," 2700 Brønshøj",187,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Uffe Elbæk","alternativet","Københavns "," Ukendt"," Ja ",61," Mand "," Fhv. minister "," 1826 Frederiksberg C",18796,"Delvist enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Nilas Bay-Foged","alternativet","Københavns "," Ukendt"," Nej ",37," Mand "," Cand.scient.adm "," 2300 København S",353,"Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Rolf Bjerre","alternativet","Københavns "," Nørrebro, Brønshøj"," Nej ",36," Mand "," Timebankskoordinator "," 2200 København N",991,"Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist uenig"
"Morten Ellehauge","alternativet","Københavns "," Nørrebro"," Nej ",53," Mand "," Leder "," 2200 København N",186,"Delvist uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Erik Valentin Fischer","alternativet","Københavns "," Sundbyvester"," Nej ",42," Mand "," Handelslærer "," 2300 København S",172,"Delvist enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Rune Lundgård Jørgensen","alternativet","Københavns "," Ukendt"," Nej ",32," Mand "," Studerende "," 2400 København NV",292,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Jan Kristoffersen","alternativet","Københavns "," Ukendt"," Nej ",41," Mand "," Selvstændig "," 2720 Vanløse",171,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig"
"Carolina Magdalene Maier","alternativet","Københavns "," Slots"," Nej ",41," Kvinde "," Centerleder, Videnscenter for Patientstøtte ","  Frederiksberg",1073,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Jacob Fuglsang Mikkelsen","alternativet","Københavns "," Sundbyøster"," Nej ",43," Mand "," Kunstner "," 2300 København S",194,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Franciska Rosenkilde","alternativet","Københavns "," Vesterbro"," Nej ",39," Kvinde "," Arbejdssøgende ","  København V",766,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig"
"Rune Peter Wingård","alternativet","Københavns "," Tårnby"," Nej ",31," Mand "," cand.scient.soc. "," 2300 København S",443,"Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig"
"Kashif Ahmad","uden for folketingsgrupperne","Københavns "," Nørrebro"," Nej ",35," Mand "," Byrådsmedlem "," Ukendt",0,"Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Jan Elkjær","uden for folketingsgrupperne","Københavns "," Vesterbro"," Nej ",64," Mand "," Ukendt ","  København V",0,"Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig"
"John Erik Wagner","uden for folketingsgrupperne","Københavns "," Sundbyvester, Sundbyøster"," Ja ",52," Mand "," Modedesigner "," 2300 København S",0,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig"
"Jesper Hostrup Hansen","socialdemokraterne","Københavns Omegns "," Gentofte"," Nej ",54," Mand "," Bachelor i filosofi og sprogvidenskab "," 2920 Charlottenlund",133,"Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Jeppe Bruus","socialdemokraterne","Københavns Omegns "," Gladsaxe"," Ja ",37," Mand "," Kommunikationschef "," 2300 København S",2806,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig"
"Morten Bødskov","socialdemokraterne","Københavns Omegns "," Rødovre"," Ja ",45," Mand "," Fhv. minister "," 2300 København S",5935,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig"
"Kenneth F. Christensen","socialdemokraterne","Københavns Omegns "," Hvidovre"," Ja ",39," Mand "," Konsulent "," 2650 Hvidovre",1466,"Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig"
"Mette Frederiksen","socialdemokraterne","Københavns Omegns "," Ballerup"," Ja ",37," Kvinde "," Justitsminister "," 2750 Ballerup",24486,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig"
"Mogens Lykketoft","socialdemokraterne","Københavns Omegns "," Taastrup"," Ja ",69," Mand "," Folketingets formand, fhv. minister "," 2930 Klampenborg",6795,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Simon Pihl Sørensen","socialdemokraterne","Københavns Omegns "," Lyngby"," Nej ",49," Mand "," cand.jur. "," 2830 Virum",1034,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Mattias Tesfaye","socialdemokraterne","Københavns Omegns "," Brøndby"," Nej ",34," Mand "," Murersvend "," 2300 København S",8545,"Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig"
"Sofie Carsten Nielsen","radikale venstre","Københavns Omegns "," Gentofte"," Ja ",40," Kvinde "," Uddannelses- og Forskningsminister "," 2200 København N",4303,"Helt uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig"
"Michael Blem Clausen","radikale venstre","Københavns Omegns "," Brøndby"," Nej ",40," Mand "," Lærer "," 2640 Hedehusene",347,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Özkan Ekiz","radikale venstre","Københavns Omegns "," Ukendt"," Nej ",32," Mand "," Køreskolelærer "," 2660 Brøndby Strand",1113,"Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Helge Vagn Jacobsen","radikale venstre","Københavns Omegns "," Lyngby"," Ja ",52," Mand "," Vicedirektør "," 3050 Humlebæk",276,"Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig"
"Susanne Wad Leth","radikale venstre","Københavns Omegns "," Hvidovre"," Nej ",39," Kvinde "," Ukendt "," 2650 Hvidovre",248,"Helt uenig","Helt enig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Jacob Juul Pedersen","radikale venstre","Københavns Omegns "," Taastrup"," Nej ",43," Mand "," Jurist "," 2620 Albertslund",314,"Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Andreas Pourkamali","radikale venstre","Københavns Omegns "," Gladsaxe"," Nej ",32," Mand "," cand.jur. "," 2200 København N",344,"Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Cheri-Mae M. Williamson","radikale venstre","Københavns Omegns "," Ballerup"," Ja ",48," Kvinde "," Sygeplejerske "," 2860 Søborg",153,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Casper Strunge","det konservative folkeparti","Københavns Omegns "," Gentofte"," Ja ",42," Mand "," Filmproducent "," 2930 Klampenborg",1137,"Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig"
"Rasmus Jarlov","det konservative folkeparti","Københavns Omegns "," Lyngby, Rødovre"," Ja ",38," Mand "," Selvstændig "," 2400 København NV",3419,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig"
"Mads Holger Norgård","det konservative folkeparti","Københavns Omegns "," Ballerup, Hvidovre"," Nej ",37," Mand "," Forfatter "," Ukendt",977,"Helt enig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Merete Scheelsbeck","det konservative folkeparti","Københavns Omegns "," Brøndby, Taastrup"," Nej ",29," Kvinde "," Kommunikationsmedarbejder "," 2630 Taastrup",1833,"Helt enig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig"
"Henrik Sørensen","det konservative folkeparti","Københavns Omegns "," Gladsaxe"," Ja ",49," Mand "," Specialkonsulent "," 2860 Søborg",200,"Helt enig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig"
"Lise Müller","socialistisk folkeparti","Københavns Omegns "," Gentofte"," Nej ",41," Kvinde "," Klinisk sygeplejevejleder "," 2920 Charlottenlund",624,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Anders Wolf Andresen","socialistisk folkeparti","Københavns Omegns "," Hvidovre"," Nej ",31," Mand "," Udviklingskonsulent "," 2650 Hvidovre",303,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig"
"Serdal Benli","socialistisk folkeparti","Københavns Omegns "," Gladsaxe"," Ja ",36," Mand "," Viceborgmester/konsulent, cand.scient.soc. "," 2880 Bagsværd",1661,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig"
"Dorete Dandanell","socialistisk folkeparti","Københavns Omegns "," Lyngby"," Nej ",64," Kvinde "," Chefkonsulent "," 2830 Virum",476,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig"
"Arly Eskildsen","socialistisk folkeparti","Københavns Omegns "," Rødovre"," Ja ",60," Mand "," Organisationskonsulent "," 2730 Herlev",309,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig"
"Bilal Inekci","socialistisk folkeparti","Københavns Omegns "," Brøndby"," Ja ",56," Mand "," Socialrådgiver "," 2635 Ishøj",480,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Morten Normann Jørgensen","socialistisk folkeparti","Københavns Omegns "," Ballerup"," Ja ",26," Mand "," Viceborgmester "," 2800 Kgs. Lyngby",707,"Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig"
"Jan Kjær","socialistisk folkeparti","Københavns Omegns "," Taastrup"," Nej ",38," Mand "," Ukendt "," 2640 Hedehusene",107,"Helt uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig"
"Holger K. Nielsen","socialistisk folkeparti","Københavns Omegns "," Taastrup"," Ja ",65," Mand "," Fhv. minister "," 2500 Valby",1578,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Poul V. Jensen","liberal alliance","Københavns Omegns "," Storkredskandidat"," Ja ",56," Mand "," Selvstændig "," 2900 Hellerup",470,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Sahar Aslani","liberal alliance","Københavns Omegns "," Ukendt"," Nej ",42," Kvinde "," Pædagog "," 2860 Søborg",353,"Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig"
"Charlotte Bircow Næss-Schmidt","liberal alliance","Københavns Omegns "," Ukendt"," Nej ",54," Kvinde "," Fitness-coach "," 2920 Charlottenlund",1366,"Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Anne Jeremiassen","liberal alliance","Københavns Omegns "," Storkredskandidat"," Nej ",39," Kvinde "," Fuldmægtig "," 2800 Kgs. Lyngby",335,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt enig"
"Joachim B. Olsen","liberal alliance","Københavns Omegns "," Storkredskandidat"," Ja ",38," Mand "," Tidl. professionel sportsudøver "," 2860 Søborg",4259,"Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Frank Dahlgård","liberal alliance","Københavns Omegns "," Storkredskandidat"," Nej ",69," Mand "," cand.polit. "," 2880 Bagsværd",667,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
